Event 1 BX 0
SwTrack 2 pT: 17.8801, eta: -2.33629, phi: -1.1081, sector: 23, Q: -1

Event 125 BX 100
SwTrack 1 pT: 73.4101, eta: -1.53739, phi: -2.1372, sector: 18, Q: 1
SwTrack 2 pT: 85.1833, eta: 1.53659, phi: 1.00427, sector: 5, Q: -1

Event 126 BX 101
SwTrack 1 pT: 12.8808, eta: 1.18716, phi: 2.73021, sector: 12, Q: 1
SwTrack 2 pT: 13.0862, eta: -1.18824, phi: -0.41096, sector: 26, Q: -1

Event 127 BX 110
SwTrack 1 pT: 21.2959, eta: -2.15497, phi: -1.83456, sector: 20, Q: 1
SwTrack 2 pT: 21.9161, eta: 2.14959, phi: 1.30724, sector: 6, Q: -1

Event 128 BX 111
SwTrack 1 pT: 13.4167, eta: -1.92691, phi: -2.09388, sector: 18, Q: 1
SwTrack 2 pT: 13.1625, eta: 1.92356, phi: 1.04964, sector: 5, Q: -1

Event 129 BX 0
SwTrack 1 pT: 0, eta: 0, phi: 0, sector: 0, Q: 0
SwTrack 2 pT: 0, eta: 0, phi: 0, sector: 0, Q: 0

Event 130 BX 1
SwTrack 1 pT: 136.81, eta: 0.412067, phi: -2.00018, sector: 19, Q: 1
SwTrack 2 pT: 138.915, eta: -0.419251, phi: 1.1414, sector: 5, Q: -1

Event 131 BX 10
SwTrack 1 pT: 23.2718, eta: 2.13284, phi: 0.243974, sector: 2, Q: 1
SwTrack 2 pT: 23.2718, eta: -2.12918, phi: -2.89711, sector: 15, Q: -1

Event 132 BX 11
SwTrack 1 pT: 61.8456, eta: 1.5015, phi: -0.378245, sector: 26, Q: 1
SwTrack 2 pT: 60.1964, eta: -1.50564, phi: 2.76338, sector: 12, Q: -1

Event 133 BX 100
SwTrack 1 pT: 67.3839, eta: -1.46868, phi: -0.13286, sector: 27, Q: 1
SwTrack 2 pT: 77.8401, eta: 1.46355, phi: 3.00873, sector: 13, Q: -1

Event 134 BX 101
SwTrack 1 pT: 7.10422, eta: -2.38879, phi: 1.48378, sector: 7, Q: 1
SwTrack 2 pT: 6.83531, eta: 2.39588, phi: -1.65473, sector: 20, Q: -1

Event 135 BX 110
